Age_scaled,Sex_1,Age,Fare,Name_length,Sex_0,Title_0,Ticket_Number,Pclass,CabinLetter,Family_Size,Title_1,Title_2,Ticket_Letter,Cabin,Family_Size_Category_2,Family_Size_Category_0,S,Pclass_4,Pclass_5,Fare_0,Family_Size_Category_1,Fare_1,C,Fare_2,Title_3,Fare_4,Pclass_1,Fare_3,Pclass_3,Title_5,Pclass_0,Title_4,Pclass_2,Q,Survived
-0.5582651669995292,0,-0.5582651669995292,-0.4969756802648082,-0.4274512701485322,1,1,0.0,0,0,2,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6071162832273901,1,0.6071162832273901,2.5225732852055205,2.590962057806627,0,0,0.0,1,1,2,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
-0.2669198044427993,1,-0.2669198044427993,-0.4651454364433516,-0.5352517461469307,0,0,0.0,0,0,1,0,1,2,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.3886072613098427,1,0.3886072613098427,0.4131335134449858,1.8363587258178369,0,0,113803.0,1,1,2,1,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0.3886072613098427,0,0.3886072613098427,-0.4592509468467856,-0.31965079415013364,1,1,373450.0,0,0,1,0,0,3,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.4190717449185178,0,-0.4190717449185178,-0.4399971860285624,-1.182054602137322,1,1,330877.0,0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.7724977334543093,0,1.7724977334543093,1.6067676567496052,-0.4274512701485322,1,1,17463.0,1,2,1,0,0,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-2.0149919797831783,0,-2.0149919797831783,-0.5904033403703796,0.3271520618402576,1,0,349909.0,0,0,5,0,0,3,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.1940834638036169,1,-0.1940834638036169,-0.6638557541311081,2.37536110580983,0,0,347742.0,0,0,3,1,0,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-1.1409558921129888,1,-1.1409558921129888,-0.1298480058239673,0.8661544418322503,0,0,237736.0,2,0,2,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
-1.8693192985048133,1,-1.8693192985048133,-0.4451041718150272,0.4349525378386561,0,0,0.0,0,3,3,0,1,4,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2.063843096011039,1,2.063843096011039,0.4131335134449858,-0.31965079415013364,0,0,113783.0,1,1,1,0,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
-0.7039378482778941,0,-0.7039378482778941,-0.4592509468467856,0.3271520618402576,1,1,0.0,0,0,1,0,0,5,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.6799526238665725,0,0.6799526238665725,-0.6281701772855205,0.003750633845061978,1,1,347082.0,0,0,7,0,0,3,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.1409558921129888,1,-1.1409558921129888,-0.4684840753508467,0.9739549178306488,0,0,350406.0,0,0,1,0,1,3,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.845334074093492,1,1.845334074093492,-0.08436140850518659,0.5427530138370547,0,0,248706.0,2,0,1,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
